"order","family","sci_name","common_name","iucn_2024","status","mass_g","habitat","habitat_density","migration","trophic_level","trophic_niche","primary_lifestyle","range_size","lifespan","repro_age","clutches_per_year","kipps_distance","hand_wing_index","nest_type","majority_nesting_location","most_common_nesting_location","second_nesting_location","nest_category","any_tree_nest","ground_nest","shrub_nest","snag_nest","live_tree_nest","conifer_nest","deciduous_nest","majority_foraging_location","most_common_foraging_location","second_foraging_location","av_id","elton_id","d_id","elton_common_name","elton_sci_name","elton_syn","d_sci_name","for_hawking","for_foliage_gleaning","for_bark_gleaning","fstimb","diet_inv","diet_nect","diet_seed","for_strat_ground","for_strat_understory","for_strat_canopy","elevational_range","forest_use","primary_habitat","habitat_breadth","primary_diet","diet_breadth","eco_spec_index","old_growth"
"ANSERIFORMES"," Anatidae","Aythya americana","Redhead","LC","",1075.7,"Wetland","open",3,"Herbivore","Herbivore aquatic","Aquatic",5111761.27,21,1.1,1,104.6,46,"cup","float","float_nest",NA,"built.structure",0,0,0,0,0,0,0,"water","water",NA,481,729,240,"Redhead","Aythya americana",NA,NA,0,0,0,0,10,0,20,0,0,0,NA,0,"Wetland",2,"Omnivore",3,1.222,0
"ANSERIFORMES"," Anatidae","Aythya ferina","Common Pochard","VU","Rare/Accidental Vulnerable",823,"Wetland","open",1,"Herbivore","Herbivore aquatic","Aquatic",16611109.18,NA,NA,NA,104.4,50.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"water","water",NA,480,727,NA,"Common Pochard",NA,NA,NA,NA,NA,NA,NA,10,0,20,0,0,0,2690,0,"Wetland",4,"Omnivore",5,0.699,0
"ANSERIFORMES"," Anatidae","Aythya collaris","Ring-necked Duck","LC","",704.6,"Wetland","open",3,"Omnivore","Herbivore aquatic","Aquatic",4899833.68,20,1,1,92.6,48.2,"scrape","ground","ground_nest","float_nest","open",0,60,0,0,0,0,0,"water","water",NA,488,730,250,"Ring-necked Duck","Aythya collaris",NA,NA,0,0,0,0,20,0,20,0,0,0,2500,4,"Wetland",4,"Omnivore",3,0.921,0
"ANSERIFORMES"," Anatidae","Aythya fuligula","Tufted Duck","LC","Rare/Accidental",701.2,"Wetland","open",2,"Omnivore","Herbivore aquatic","Aquatic",20377977.97,18,1.5,1,99,50.1,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,489,736,271,"Tufted Duck","Aythya fuligula",NA,NA,0,0,0,0,50,0,20,0,0,0,3000,0,"Wetland",4,"Omnivore",3,0.921,0
"ANSERIFORMES"," Anatidae","Aythya marila","Greater Scaup","LC","Rare/Accidental",1005.4,"Wetland","open",3,"Omnivore","Aquatic predator","Aquatic",11929401.28,22,1,1,104.1,48.9,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,490,738,260,"Greater Scaup","Aythya marila",NA,NA,0,0,0,0,80,0,10,0,0,0,NA,5,"Wetland",5,"Omnivore",3,0.824,0
"ANSERIFORMES"," Anatidae","Aythya affinis","Lesser Scaup","LC","",819.5,"Wetland","open",3,"Omnivore","Aquatic predator","Aquatic",5052907.86,18.3,1.5,1,101,51,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,491,739,270,"Lesser Scaup","Aythya affinis",NA,NA,0,0,0,0,20,0,30,0,0,0,NA,0,"Wetland",5,"Invertebrate",3,0.824,0
"ANSERIFORMES"," Anatidae","Polysticta stelleri","Steller's Eider","VU","Rare/Accidental Vulnerable",806.8,"Marine","open",3,"Carnivore","Aquatic predator","Aquatic",2209280.29,12,2.5,1,99.8,49.1,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,424,745,280,"Steller's Eider","Polysticta stelleri",NA,NA,0,0,0,0,80,0,0,0,0,0,NA,0,"Sea",4,"Invertebrate",1,1.398,0
"ANSERIFORMES"," Anatidae","Somateria fischeri","Spectacled Eider","NT","Rare/Accidental Near-threatened",1557.2,"Coastal","open",2,"Carnivore","Aquatic predator","Aquatic",1068843.97,8,2.5,1,110.7,45,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,421,744,290,"Spectacled Eider","Somateria fischeri",NA,NA,0,0,0,0,70,0,10,0,0,0,NA,0,"Coastal",4,"Invertebrate",3,0.921,0
"ANSERIFORMES"," Anatidae","Somateria spectabilis","King Eider","LC","Rare/Accidental",1616.7,"Marine","open",3,"Carnivore","Aquatic predator","Aquatic",3200134.05,15,3,0.9,130.8,48.9,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,422,743,300,"King Eider","Somateria spectabilis",NA,NA,0,0,0,0,80,0,10,0,0,0,100,0,"Sea",4,"Invertebrate",2,1.097,0
"ANSERIFORMES"," Anatidae","Somateria mollissima","Common Eider","NT","Rare/Accidental Near-threatened",2060.9,"Marine","open",2,"Carnivore","Aquatic predator","Aquatic",3321100.72,21,3.5,0.75,126.2,44.9,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,423,740,310,"Common Eider","Somateria mollissima",NA,NA,0,0,0,0,70,0,0,0,0,0,NA,0,"Sea",5,"Invertebrate",2,1,0
"ANSERIFORMES"," Anatidae","Histrionicus histrionicus","Harlequin Duck","LC","",561.6,"Marine","open",2,"Carnivore","Aquatic predator","Aquatic",7912681.94,10,2.5,1,95,50,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"water","water",NA,441,747,320,"Harlequin Duck","Histrionicus histrionicus",NA,NA,0,0,0,0,100,0,0,0,0,0,1890,0,"Riparian",3,"Invertebrate",1,1.523,0
