assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
264594685,22695838,Parabuteo unicinctus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Parabuteo,unicinctus,,,,"(Temminck, 1824)",Least Concern,,3.1,Unknown,Global
264594982,22695891,Buteo platypterus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Buteo,platypterus,,,,"(Vieillot, 1823)",Least Concern,,3.1,Increasing,Global
264595357,22734130,Accipiter striatus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,striatus,,,,"Vieillot, 1807",Least Concern,,3.1,Decreasing,Global
264595779,22680856,Melanerpes carolinus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Melanerpes,carolinus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
264595999,22689366,Aegolius acadicus,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Aegolius,acadicus,,,,"(Gmelin, 1788)",Least Concern,,3.1,Increasing,Global
264596247,22688747,Megascops kennicottii,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Megascops,kennicottii,,,,"(Elliot, 1867)",Least Concern,,3.1,Decreasing,Global
264596551,22689711,Chordeiles acutipennis,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,CAPRIMULGIDAE,Chordeiles,acutipennis,,,,"(Hermann, 1783)",Least Concern,,3.1,Decreasing,Global
264596868,22690736,Zenaida macroura,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Zenaida,macroura,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
264597214,22680813,Melanerpes formicivorus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Melanerpes,formicivorus,,,,"(Swainson, 1827)",Least Concern,,3.1,Increasing,Global
264597479,22680877,Sphyrapicus thyroideus,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Sphyrapicus,thyroideus,,,,"(Cassin, 1851)",Least Concern,,3.1,Decreasing,Global
264597665,22733956,Zenaida asiatica,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Zenaida,asiatica,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
264598031,22680801,Melanerpes lewis,ANIMALIA,CHORDATA,PICIFORMES,AVES,PICIDAE,Melanerpes,lewis,,,,"(Gray, 1849)",Least Concern,,3.1,Increasing,Global
264598231,22695970,Buteo regalis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Buteo,regalis,,,,"(Gray, 1844)",Least Concern,,3.1,Increasing,Global
264598530,22695144,Haliaeetus leucocephalus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Haliaeetus,leucocephalus,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Increasing,Global
264598871,22695656,Accipiter cooperii,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,cooperii,,,,"(Bonaparte, 1828)",Least Concern,,3.1,Increasing,Global
264599155,22689094,Strix varia,ANIMALIA,CHORDATA,STRIGIFORMES,AVES,STRIGIDAE,Strix,varia,,,,"Barton, 1799",Least Concern,,3.1,Increasing,Global
264971936,22693165,Numenius minutus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Numenius,minutus,,,,"Gould, 1841",Least Concern,,3.1,Decreasing,Global
264977012,22697303,Ixobrychus sinensis,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,ARDEIDAE,Ixobrychus,sinensis,,,,"(Gmelin, 1789)",Least Concern,,3.1,Unknown,Global
264981548,22694132,Glareola maldivarum,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,GLAREOLIDAE,Glareola,maldivarum,,,,"Forster, 1795",Least Concern,,3.1,Stable,Global
264990411,22693392,Calidris subminuta,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,subminuta,,,,"(Middendorff, 1853)",Least Concern,,3.1,Decreasing,Global
264998702,62015238,Haematopus ater,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,HAEMATOPODIDAE,Haematopus,ater,,,,"Vieillot &amp; Oudart, 1825",Least Concern,,3.1,Unknown,Global
265001129,22680287,Anas bahamensis,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,bahamensis,,,,"Linnaeus, 1758",Least Concern,,3.1,Decreasing,Global
265022100,22694791,Phaetusa simplex,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,LARIDAE,Phaetusa,simplex,,,,"(Gmelin, 1789)",Least Concern,,3.1,Stable,Global
