internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22694542,Thalasseus maximus,"Sterna maxima Boddaert, 1783",Sterna,maxima,"Boddaert, 1783",,
22694571,Thalasseus bergii,Thalasseus bergii AOU checklist (1998 + supplements),Thalasseus,bergii,AOU checklist (1998 + supplements),,
22694571,Thalasseus bergii,Thalasseus bergii Christidis and Boles (2008),Thalasseus,bergii,Christidis and Boles (2008),,
22694571,Thalasseus bergii,"Sterna bergii Lichtenstein, 1823",Sterna,bergii,"Lichtenstein, 1823",,
22694673,Sternula antillarum,Sternula antillarum AOU checklist (1998 + supplements),Sternula,antillarum,AOU checklist (1998 + supplements),,
22694673,Sternula antillarum,"Sterna antillarum (Lesson, 1847)",Sterna,antillarum,"(Lesson, 1847)",,
22694722,Onychoprion lunatus,Onychoprion lunatus AOU checklist (1998 + supplements),Onychoprion,lunatus,AOU checklist (1998 + supplements),,
22694722,Onychoprion lunatus,"Sterna lunata Peale, 1848",Sterna,lunata,"Peale, 1848",,
22696657,Morus bassanus,Sula bassana —  Cramp and Simmons (1977-1994),Sula,bassana,—  Cramp and Simmons (1977-1994),,
22696657,Morus bassanus,Sula bassana — Dowsett and Forbes-Watson (1993),Sula,bassana,— Dowsett and Forbes-Watson (1993),,
22696657,Morus bassanus,"Pelecanus bassanus Linnaeus, 1758",Pelecanus,bassanus,"Linnaeus, 1758",,
22697975,Pterodroma cookii,"Pterodroma cooki ssp. cooki (Gray, 1843) — Collar and Andrew (1988)",Pterodroma,cooki,,subspecies,"(Gray, 1843) — Collar and Andrew (1988)"
22697975,Pterodroma cookii,"Pterodroma cooki ssp. cooki (Gray, 1843) — Stotz <i>et al<i/>. (1996)",Pterodroma,cooki,,subspecies,"(Gray, 1843) — Stotz <i>et al<i/>. (1996)"
22698175,Ardenna pacifica,"Puffinus pacificus (Gmelin, 1789)",Puffinus,pacificus,"(Gmelin, 1789)",,
