SortID,Order,Family,Species common name,Species scientific name,PhyloName,phylo-duplicate-flag,phylo-fidelity,Str-None,Str-Scrape,Str-Clearing,Str-Ring,Str-Excavation,Str-CavityMod,Str-ExWNest,Str-Mound,Str-Platform,Str-Cup,Str-Dome,Str-DomeAndTube,Loc-Artificial,Loc-EarthHole,Loc-Ground,Loc-Rocks,Loc-TreeHole,Loc-Veg,Loc-Water,Body mass (log),HWI,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange
1320,CAPRIMULGIFORMES,Trochilidae,Olivaceous Thornbill,Chalcostigma olivaceum,Chalcostigma olivaceum,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.929418926,60.3020056,-13.65,11.57047621,19.34589655,1060.702345,164.1163096
1321,CAPRIMULGIFORMES,Trochilidae,Blue-mantled Thornbill,Chalcostigma stanleyi,Chalcostigma stanleyi,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763427994,58.21826188,-9.66,15.64763604,16.38366042,1395.037479,169.0104015
1322,CAPRIMULGIFORMES,Trochilidae,Bronze-tailed Thornbill,Chalcostigma heteropogon,Chalcostigma heteropogon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785329835,62.16889655,6.06,19.36104167,11.94603333,1965.6925,237.989475
1323,CAPRIMULGIFORMES,Trochilidae,Rainbow-bearded Thornbill,Chalcostigma herrani,Chalcostigma herrani,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0.763427994,61.39065956,-0.29,17.93793462,11.76961269,1826.3145,162.0258512
1324,CAPRIMULGIFORMES,Trochilidae,Blue-bearded Helmetcrest,Oxypogon cyanolaemus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1325,CAPRIMULGIFORMES,Trochilidae,White-bearded Helmetcrest,Oxypogon lindenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,u,u,1,0,u,0,NA,NA,NA,NA,NA,NA,NA
1326,CAPRIMULGIFORMES,Trochilidae,Green-bearded Helmetcrest ,Oxypogon guerinii,Oxypogon guerinii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u,NA,NA,0,0,0,1,0,0,0,0.681241237,61.17882744,6.87,19.86672222,12.03642222,1866.213333,225.5224889
1327,CAPRIMULGIFORMES,Trochilidae,Buffy Helmetcrest,Oxypogon stuebelii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1328,CAPRIMULGIFORMES,Trochilidae,Western Mountaineer,Oreonympha albolimbata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1329,CAPRIMULGIFORMES,Trochilidae,Eastern Mountaineer,Oreonympha nobilis,Oreonympha nobilis,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,u,0,0,0,0.886490725,63.80749898,-13.51,10.125333,21.30351,889.6439,157.031697
1330,CAPRIMULGIFORMES,Trochilidae,Perija Metaltail,Metallura iracunda,Metallura iracunda,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58546073,64.09472597,10.11,25.71982,12.97016,1608.464,242.00646
1331,CAPRIMULGIFORMES,Trochilidae,Tyrian Metaltail,Metallura tyrianthina,Metallura tyrianthina,0,NA,0,0,0,0,0,0,0,0,0,u,u,0,0,0,0,1,0,1,0,0.579783597,59.83384007,-4.05,17.19017802,15.20816471,1540.026645,183.6912778
1332,CAPRIMULGIFORMES,Trochilidae,Viridian Metaltail,Metallura williami,Metallura williami,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u,NA,NA,0,0,u,u,0,u,0,0.653212514,56.42495149,0.26,17.858688,11.6335332,1996.54308,162.1159
1333,CAPRIMULGIFORMES,Trochilidae,Violet-throated Metaltail,Metallura baroni,Metallura baroni,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.633468456,59.566787,-2.9,17.70776667,11.79666667,1213.043333,147.6082333
1334,CAPRIMULGIFORMES,Trochilidae,Neblina Metaltail,Metallura odomae,Metallura odomae,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.707570176,60.82424827,-4.92,18.78553333,13.93276667,870.0923333,158.1111
1335,CAPRIMULGIFORMES,Trochilidae,Coppery Metaltail,Metallura theresiae,Metallura theresiae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69019608,57.88472045,-7.43,16.280753,15.85857,1159.5181,114.106663
1336,CAPRIMULGIFORMES,Trochilidae,Fire-throated Metaltail,Metallura eupogon,Metallura eupogon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662757832,61.32984028,-11.74,12.55538818,18.31288182,1117.483,153.3751155
1337,CAPRIMULGIFORMES,Trochilidae,Scaled Metaltail,Metallura aeneocauda,Metallura aeneocauda,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716003344,55.73210918,-15.45,13.70954091,20.19090909,1251.04,191.5529882
1338,CAPRIMULGIFORMES,Trochilidae,Black Metaltail,Metallura phoebe,Metallura phoebe,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.73239376,58.87620893,-12.54,10.769134,19.220535,553.9951655,105.4452815
1339,CAPRIMULGIFORMES,Trochilidae,Greenish Puffleg,Haplophaedia aureliae,Haplophaedia aureliae,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.716003344,62.11379399,-4.46,18.15822877,14.17865123,2066.24521,190.0693058
1340,CAPRIMULGIFORMES,Trochilidae,Buff-thighed Puffleg,Haplophaedia assimilis,Haplophaedia assimilis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681241237,61.58393991,NA,NA,NA,NA,NA
1341,CAPRIMULGIFORMES,Trochilidae,Hoary Puffleg,Haplophaedia lugens,Haplophaedia lugens,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.838849091,60.87391775,0.53,16.3735,10.936826,1997.666,156.56312
1342,CAPRIMULGIFORMES,Trochilidae,Black-breasted Puffleg,Eriocnemis nigrivestis,Eriocnemis nigrivestis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648360011,58.51626864,0,13.87,11.74835,1541.285,164.8163
1343,CAPRIMULGIFORMES,Trochilidae,Gorgeted Puffleg ,Eriocnemis isabellae,Eriocnemis isabellae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596597096,64.36465808,NA,NA,NA,NA,NA
1344,CAPRIMULGIFORMES,Trochilidae,Glowing Puffleg,Eriocnemis vestita,Eriocnemis vestita,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0.657055853,60.01865654,2.39,18.75256216,11.93915946,2007.835865,189.7278595
